model_name,training_time,accuracy,cpu_usage_time,memo_usage_mib,cpu_limit_util,cpu_percent_util_max,power_use_memory,energy_use_memory,power_use_skylake_cpu,power_use_broadwell_cpu,power_use_haswell_cpu,energy_use_skylake_cpu,energy_use_broadwell_cpu,energy_use_haswell_cpu,total_energy_skylake,total_energy_broadwell,total_energy_haswell
minst_cnn,5.7,90.34,0.546,371.59,1.02,60.48,0.139,47.656,14.886,11.268,13.605,5090.943,3853.789,4653.013,8581.461732,6515.414564,7850.117602
minst_cnn,4.53,90.81,0.9,353.31,1.094,58.89,0.132,36.011,14.842,11.235,13.565,4034.087,3053.75,3687.069,6797.063755,5159.918496,6217.543309
minst_cnn,4.56,90.32,0.811,359.3,1.008,59.05,0.135,36.864,14.79,11.136,13.518,4046.584,3063.221,3698.491,6819.3592,5177.142103,6238.043414
cifar10_cnn,31.7,71.6,1.007,786.67,1.19,60.41,0.295,561.092,14.868,11.255,13.589,28279.36,21407.17,25846.73,48163.55554,36687.00063,44101.05823
cifar10_cnn,30.9,70.3,1.016,770.23,1.09,59.33,0.289,535.504,14.833,11.229,13.557,27501.15,20818.08,25135.46,46821.21086,35660.47502,42870.50791
cifar10_cnn,30.41,71.78,1.003,722.62,1.13,59.28,0.271,494.435,14.862,11.25,13.583,27116.99,20527.27,24784.35,46111.0839,35106.25011,42215.56751
minst_resnet,59.47,90.52,1.014,537.93,1.16,63.22,0.198,706.41,15.426,11.677,14.099,55041.32,41665.69,50306.58,93098.71188,70761.40473,85191.7005
minst_resnet,59.39,89.96,1.01,583.54,1.098,63.6,0.219,779.78,14.894,11.275,13.613,53074.99,40177.2,48509.4,89937.4497,68398.13479,82312.91345
minst_resnet,59.6,90.38,1.009,577.08,1.12,63.49,0.216,773.864,14.87,11.256,13.591,53173.88,40252.06,48599.79,90092.73944,68513.29078,82453.99655
cifar10_resnet,165.26,80.23,1.998,2107.392,0.7,51.99,0.79,7836.021,12.246,9.27,11.123,121428.223,91919.859,110982.781,215871.2868,166592.3193,198427.4045
cifar10_resnet,167.26,79.25,2.086,1897.472,0.684,51.91,0.712,7140.851,12.231,9.259,11.179,122747.415,929918.473,112188.497,216913.4043,167099.0717,199280.0122
cifar10_resnet,173.1,81.04,2.063,1916.928,0.668,51.5,0.719,7465.955,12.139,9.189,11.094,126069.248,95433.065,115224.582,223003.7903,171841.3648,204893.1972
