id,model_name,training_time_s,accuracy,cpu_usage_time,memo_usage_mib,cpu_limit_util,cpu_percent_util_min,cpu_percent_util_max,memory_percentage,power_use_memory,energy_use_memory,power_min_skylake_cpu,power_use_skylake_cpu,power_min_broadwell_cpu,power_use_broadwell_cpu,power_min_haswell_cpu,power_use_haswell_cpu,min_power_amd_cpu_n_4,power_amd,energy_use_skylake_cpu,energy_use_broadwell_cpu,energy_use_haswell_cpu,total_energy_skylake,total_energy_broadwell,total_energy_haswell,avg_energy,experiment,num_layers,max_epoch,batch_size,no_nodes,accelerator
fde8e3c9-f2e4-40ca-a91c-108f08fac59b,mnist_cnn,82,86.56,0.1483,472.82,0.0494,1.65,25.801,0.0591025,0.1773075,14.539215,0.383625,6.283378414,0.2904,4.756449896,0.350625,5.742872744,2.17239,35.58148826,2866.487421,2761.938625,2829.478998,2881.026636,2776.47784,2844.018213,2833.840896,1,1,2,512,4,on
bdd600d1-b6eb-410c-ba5e-b2df202c0cff,mnist_cnn,29,86.56,0.405,448.18,0.135,1.77,22.9,0.0560225,0.1680675,4.8739575,0.411525,5.641535775,0.31152,4.27058192,0.376125,5.156242375,2.330382,31.94686452,910.2031132,877.0054656,898.4517335,915.0770707,881.8794231,903.325691,900.0940616,1,1,2,512,4,on
47d8ad8a-94d5-410e-a82d-849d95d557ef,mnist_cnn,21,86.56,0.1921,497.07,0.064,1.65,25.801,0.06213375,0.18640125,3.91442625,0.383625,6.283378414,0.2904,4.756449896,0.350625,5.742872744,2.17239,35.58148826,734.1004371,707.3257455,724.6226701,738.0148633,711.2401717,728.5370964,725.9307105,1,1,2,512,4,on
a4511424-0f09-4a08-96df-6c2fdc791e4f,mnist_resnet,78,82.91,1.042,619.89,0.3339,1.5961,42.5,0.07748625,0.23245875,18.1317825,0.37109325,10.09462862,0.2809136,7.64152532,0.33917125,9.226273469,2.10142526,57.16381952,4380.542728,4220.77211,4323.986757,4398.67451,4238.903892,4342.118539,4326.565647,1,1,2,512,4,on
cab4e4a3-6ccf-471b-9dc3-ecca9bc4a0f6,mnist_resnet,74,82.91,1.487,606.5,0.4066,1.5575,42.08,0.0758125,0.2274375,16.830375,0.36211875,9.99333918,0.27412,7.564850304,0.33096875,9.1336971,2.0506045,56.59023813,4114.199242,3964.142914,4061.081958,4131.029617,3980.973289,4077.912333,4063.30508,1,1,2,512,4,on
f941d800-bd69-48c1-9108-bd6b353d05a6,mnist_resnet,79,82.91,1.217,613.78,0.3327,1.497,51.41,0.0767225,0.2301675,18.1832325,0.3480525,12.12194371,0.263472,9.176181045,0.3181125,11.07919586,1.9709502,68.6440907,5327.73146,5133.414226,5258.946598,5345.914692,5151.597458,5277.129831,5258.213994,1,1,2,512,4,on
db0cdde1-909a-4c97-905f-50b7fa6eeaff,cifar10_cnn,160,48.01,1.91,1239.04,0.595,10.06,46.67,0.15488,0.46464,74.3424,2.33895,12.09813704,1.77056,9.158159648,2.13775,11.05743708,13.244996,68.50927837,10769.1507,10376.36972,10630.11318,10843.4931,10450.71212,10704.45558,10666.22027,1,1,2,512,4,on
335dc4db-90ad-443a-926d-4fcb5e2ddd01,cifar10_cnn,120,48.01,1.986,1283.072,0.577,9.54,47.76,0.160384,0.481152,57.73824,2.21805,12.26290932,1.67904,9.282890496,2.02725,11.2080354,12.560364,69.44235015,8186.866999,7888.269113,8081.168632,8244.605239,7946.007353,8138.906872,8109.839822,1,1,2,512,4,on
6d40031a-fe9e-4011-849e-c65303057c7b,cifar10_cnn,163,48.01,1.759,1346.56,0.586,1.68,47.79,0.16832,0.50496,82.30848,0.3906,11.31510726,0.29568,8.565414528,0.357,10.3417647,2.211888,64.07514072,10260.9897,9886.742773,10128.51291,10343.29818,9969.051253,10210.82139,10174.39028,1,1,2,512,4,on
9cddb63a-f204-4573-a45a-41ed3c181f23,cifar10_resnet,794,47.99,2.236,2676.736,0.7286,1.76,50.88,0.334592,1.003776,796.998144,0.4092,12.03059904,0.30976,9.107034112,0.374,10.9957088,2.317216,68.1268245,53143.57023,51205.27592,52457.44835,53940.56838,52002.27406,53254.4465,53065.76298,1,1,2,512,4,on
37701a15-9af0-48ba-9f8a-424f4cfc6635,cifar10_resnet,798,47.99,2.189,2319.36,0.315,1.82,30.91,0.28992,0.86976,694.06848,0.42315,7.478929335,0.32032,5.661469088,0.38675,6.835580575,2.396212,42.35164887,33203.60918,31992.58089,32774.9266,33897.67766,32686.64937,33468.99508,33351.10737,1,1,2,512,4,on
1138501c-f8b6-49bd-aa74-8d8cb06df3b5,cifar10_resnet,783,47.99,2.517,3089.408,0.803,1.78,50.88,0.386176,1.158528,907.127424,0.41385,12.03288312,0.31328,9.108763136,0.37825,10.9977964,2.343548,68.13975878,52417.27414,50505.46987,51740.52926,53324.40156,51412.59729,52647.65669,52461.55185,1,1,2,512,4,on
